Argument: Type: System Ratio: 0.5,  Model: medium, Level: l

  System       RMSE       RMSE_whisper    AVG Whisper    AVG Actual       AVG Pre       AVG Match   
  E001_l       50.24          35.05          -9.63          35.90          73.80          25.11     
  E003_l       19.21          20.75          -4.53          90.16          97.61          75.30     
  E005_l       48.62          28.86          -8.33          20.59          61.81          18.41     
  E007_l       31.06          27.38          -6.25          80.97          95.80          68.23     
  E009_l       22.29          17.92          -4.43          88.49          98.34          76.12     
  E010_l       32.98          28.04          -8.17          76.49          94.00          65.40     
  E013_l       24.53          23.47          -2.79          86.93          97.77          77.18     
  E019_l       20.54          17.83          -5.18          91.49          97.17          76.39     
  E021_l       18.44          17.24          -1.82          92.03          99.63          80.94     
  E018_l       38.30          33.11         -15.18          62.67          83.48          44.30     
