Argument: Type: Listener Ratio: 0.5,  Model: medium.en, Level: l

 Listener      RMSE       RMSE_whisper    AVG Whisper    AVG Actual       AVG Pre       AVG Match   
 L0200_l       33.86          25.85          -6.86          71.11          89.74          59.72     
 L0201_l       33.30          24.52         -18.40          72.82          87.76          50.13     
 L0202_l       31.92          21.80          -1.54          80.47          97.42          71.32     
 L0206_l       31.45          25.89          -0.91          73.94          92.34          64.33     
 L0208_l       27.13          22.60          -6.29          81.94          94.30          68.39     
 L0209_l       25.12          22.04          -6.11          80.46          92.13          64.38     
 L0212_l       35.29          26.73          -8.76          71.91          92.06          57.44     
 L0215_l       36.52          29.26          -5.57          67.18          90.83          56.77     
 L0216_l       26.92          21.36          -8.80          79.33          91.10          63.08     
 L0217_l       39.77          25.86          -1.72          66.72          91.72          64.23     
 L0218_l       28.83          22.40         -10.64          74.33          90.17          60.15     
 L0219_l       36.54          28.90          -8.36          66.32          88.43          54.93     
 L0220_l       24.87          18.80          -4.62          81.85          91.74          66.85     
 L0221_l       25.72          20.79          -6.43          80.51          92.86          66.78     
 L0222_l       35.99          28.90          -6.43          70.76          91.30          62.44     
 L0224_l       38.13          30.13          -6.11          65.58          89.44          57.33     
 L0225_l       30.49          21.57          -8.71          74.48          90.34          58.70     
 L0227_l       47.59          46.68         -11.06          44.22          80.70          39.00     
 L0229_l       35.72          24.32          -3.81          69.73          91.85          63.08     
 L0231_l       24.59          19.90         -12.69          82.76          89.66          58.02     
 L0235_l       34.64          24.69          -1.12          76.45          96.17          70.04     
 L0236_l       33.36          25.68         -11.21          69.04          88.65          53.12     
 L0239_l       36.22          28.31          -7.14          67.09          90.59          58.33     
 L0240_l       26.71          18.34          -4.08          80.33          93.94          69.40     
 L0241_l       35.50          29.88          -7.23          65.75          87.50          53.74     
 L0242_l       31.91          26.39         -11.34          67.36          85.39          48.90     
 L0243_l       27.93          21.54          -8.66          76.59          90.13          60.64     
