Argument: Type: System Ratio: 0.3,  Model: medium, Level: l

  System       RMSE       RMSE_whisper    AVG Whisper    AVG Actual       AVG Pre       AVG Match   
  E005_l       26.05          30.06          -5.37          19.05          10.57          19.54     
  E007_l       31.15          29.54          -6.67          79.41          68.42          65.72     
  E009_l       21.92          18.50          -3.71          87.42          78.24          76.17     
  E010_l       33.68          30.02          -9.76          76.47          65.97          63.76     
  E013_l       23.99          23.18          -2.69          88.21          83.26          78.67     
  E019_l       26.64          16.11          -4.72          91.95          81.51          77.54     
  E021_l       19.60          17.87          -1.68          90.66          85.08          80.84     
  E018_l       40.90          32.20         -14.46          64.47          46.30          45.92     
