Argument: Type: Listener Ratio: 0.5,  Model: medium.en, Level: l

 Listener      RMSE       RMSE_whisper    AVG Whisper    AVG Actual       AVG Pre       AVG Match   
 L0200_l       77.68          26.91          -9.19          67.61          0.88           55.36     
 L0201_l       80.58          23.86         -16.81          72.10          0.88           51.32     
 L0202_l       84.33          22.46          -3.04          79.89          0.96           69.60     
 L0206_l       82.94          23.90          -2.01          76.91          0.93           66.50     
 L0208_l       85.37          23.00          -7.30          80.63          0.93           67.04     
 L0209_l       84.06          23.27          -8.96          78.27          0.90           60.49     
 L0212_l       82.91          25.15          -7.82          75.22          0.93           60.76     
 L0215_l       75.86          28.40          -5.90          67.22          0.92           57.06     
 L0216_l       84.52          20.70          -6.57          79.61          0.91           63.46     
 L0217_l       75.71          23.34          -0.79          67.43          0.93           66.75     
 L0218_l       79.82          23.83         -10.54          71.18          0.90           57.34     
 L0219_l       75.89          28.09          -6.54          65.92          0.90           55.18     
 L0220_l       83.65          21.32          -5.63          77.33          0.91           62.96     
 L0221_l       87.40          21.51          -5.64          82.14          0.94           68.72     
 L0222_l       78.97          28.38          -4.04          69.36          0.92           64.03     
 L0224_l       79.60          29.28          -6.74          69.91          0.90           59.22     
 L0225_l       81.78          23.44          -8.15          75.84          0.91           61.79     
 L0227_l       57.11          45.71         -10.33          44.21          0.82           41.18     
 L0229_l       77.73          24.91          -2.66          68.93          0.92           62.88     
 L0231_l       87.85          20.30         -11.49          84.69          0.91           60.22     
 L0235_l       83.43          25.06          -1.47          77.46          0.97           70.22     
 L0236_l       78.60          24.54         -11.49          71.10          0.88           55.16     
 L0239_l       74.07          31.10          -6.85          64.56          0.91           56.37     
 L0240_l       86.61          19.37          -3.09          82.21          0.95           70.91     
 L0241_l       74.10          30.69          -9.10          63.09          0.88           51.10     
 L0242_l       77.96          25.70         -10.02          69.33          0.87           54.32     
 L0243_l       84.04          20.58         -10.09          76.86          0.91           61.08     
