Argument: Ratio: 0.5,  Model: medium, Level: l

  System       RMSE       RMSE_whisper    AVG Actual       AVG Pre       AVG Match     AVG Whisper  
 L0200_l       24.22          25.64          68.59          60.08          59.05          73.03     
 L0201_l       35.58          21.88          74.77          54.37          55.00          71.25     
 L0202_l       30.09          23.04          79.52          71.64          65.11          79.41     
 L0206_l       19.80          24.61          73.96          66.85          65.05          70.67     
 L0208_l       26.07          21.69          80.72          68.58          67.75          73.02     
 L0209_l       28.98          22.99          82.60          65.42          63.80          75.74     
 L0212_l       28.79          27.11          70.44          60.83          57.49          74.46     
 L0215_l       28.68          28.00          66.50          60.84          56.11          72.54     
 L0216_l       28.43          20.40          78.58          64.11          62.71          75.92     
